latitude,longitude,HYBAS_ID,MAIN_BAS,SUB_AREA,UP_AREA,AREA,RR,FID_1,Risk_Regio,River name,Site Name
-25.27081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.17081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.07081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.97081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.87081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.77081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.67081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.57081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.47081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.37081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.27081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.17081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.07081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.97081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.87081299,25.67512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.47081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.37081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.27081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.17081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.07081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.97081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.87081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.77081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.67081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.57081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.47081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.37081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.27081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.17081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.07081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.97081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.87081299,25.77512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.57081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.47081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.37081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.27081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.17081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.07081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.97081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.87081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.77081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.67081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.57081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.47081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.37081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.27081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.17081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.07081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.97081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.87081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.77081299,25.87512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.57081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.47081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.37081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.27081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.17081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.07081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.97081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.87081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.77081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.67081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.57081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.47081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.37081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.27081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.17081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.07081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.97081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.87081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.77081299,25.97512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-25.07081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.97081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.87081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.77081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.67081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.57081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.47081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.37081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.27081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.17081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-24.07081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
-23.97081299,26.07512207,1061571680,1060012590,929.1,43802.6,0,0,23,1.1,Ngotwane River,Ngotwane
